acc,loss,patch_size
19.686666666666667,2.140461954077085,2
40.836666666666666,1.630208657234907,2
76.12,0.7186414966980617,2
89.21666666666667,0.3481606100220233,2
92.49333333333334,0.2402493949374184,2
94.10166666666666,0.19201806391278903,2
94.93833333333333,0.1605164982161174,2
95.67333333333333,0.13762384353593612,2
96.28999999999999,0.1193809899132854,2
96.61666666666666,0.10814477619870255,2
97.08166666666666,0.09442630809848197,2
97.27,0.08584338209358976,2
97.48666666666666,0.0786222236122315,2
97.735,0.07181984027168559,2
97.91499999999999,0.06544688760341766,2
98.115,0.05975808744454601,2
98.285,0.053581999703116404,2
98.375,0.04967355648511633,2
98.59333333333333,0.04490532564629878,2
98.63499999999999,0.04277798337803688,2
98.72999999999999,0.03976925240368776,2
98.90333333333334,0.03459060256020166,2
98.98833333333333,0.032176952888306305,2
99.04166666666666,0.02956116906212022,2
99.17666666666666,0.02677081801724853,2
37.925,1.693466486359636,4
89.71833333333333,0.3342101235159983,4
94.10666666666667,0.19160434380328903,4
95.71166666666666,0.13915047429657232,4
96.53333333333333,0.11134170353490239,4
97.19166666666666,0.09022449960776915,4
97.49,0.07958093428770856,4
97.78999999999999,0.07038922479880663,4
98.04166666666667,0.06148683969833655,4
98.25,0.05488296173862182,4
98.43499999999999,0.04910690002706057,4
98.555,0.04477947200648487,4
98.69666666666667,0.03882993073522812,4
98.885,0.034629194630251735,4
98.95833333333334,0.03158509081826196,4
99.11666666666666,0.027506837199665218,4
99.29333333333334,0.024000059142805792,4
99.32166666666666,0.02236260423800559,4
99.38666666666667,0.019946603654097998,4
99.5,0.017254589016483805,4
99.54333333333332,0.014753947799363232,4
99.64,0.013124692616353665,4
99.65166666666667,0.01202735180677943,4
99.735,0.009729860926393788,4
99.77833333333334,0.00844804162525179,4
61.111666666666665,1.0961245324338476,7
93.73,0.20719555769581346,7
95.83166666666668,0.1356856001315949,7
96.87166666666667,0.10063333099203495,7
97.44166666666668,0.08254081300032946,7
97.83500000000001,0.06880692753358744,7
98.14,0.05910172567256571,7
98.35166666666667,0.05235351191474668,7
98.56666666666666,0.04394690292518741,7
98.77666666666667,0.03975055782405737,7
98.86,0.03595841864186999,7
98.99666666666667,0.03076500359083487,7
99.08666666666667,0.028090266203847327,7
99.29333333333334,0.02347603656584397,7
99.29333333333334,0.021214840122993336,7
99.46000000000001,0.017874259754244122,7
99.50666666666666,0.0157025228905574,7
99.51,0.015096883628284558,7
99.64166666666667,0.012380871372467179,7
99.67833333333334,0.01069629899361947,7
99.765,0.008500955611677151,7
99.78333333333333,0.008130414257836189,7
99.75500000000001,0.008242318041429825,7
99.845,0.006014099571063222,7
99.93833333333333,0.0035457154000929827,7
77.435,0.6843342105485499,14
94.595,0.1761935604736209,14
96.23666666666666,0.1216425248538144,14
97.20166666666667,0.09064360651265209,14
97.74000000000001,0.0743706425865336,14
98.15833333333333,0.061565364113873026,14
98.31333333333333,0.054243939137571334,14
98.61,0.04569906945253024,14
98.76166666666667,0.03971925868934098,14
98.90166666666667,0.03488278918147747,14
99.05333333333334,0.030522492929497578,14
99.18166666666667,0.025660191925950735,14
99.40666666666667,0.019564721592808684,14
99.41166666666666,0.018357826678523755,14
99.52166666666666,0.015647668286328555,14
99.61666666666666,0.012543442295767211,14
99.65833333333333,0.011728038667964331,14
99.76166666666667,0.008555762466918774,14
99.83,0.006487893134271871,14
99.87833333333333,0.0053292894443438855,14
99.95666666666668,0.0030644754952269676,14
99.97666666666667,0.002208525480133782,14
99.96666666666667,0.002194117444108391,14
99.98166666666667,0.0014543896208821631,14
99.98166666666667,0.0012036761421131813,14
